id,url,title,img_url,type,country,synopsis,director,alsoknownas,episodes,score,ranked,popularity,watchers,aired,duration,genres,tags,mainrole,supportrole
683171,https://mydramalist.com/683171-why-oh-soo-jae,Why Her? (2022),https://i.mydramalist.com/1rynK_4c.jpg?v=1, Drama, South Korea ,"The youngest partner at one of the nation’s most prestigious law offices, Oh Soo Jae has already proven she has what it takes to be one of the country’s best lawyers. Driven by her self-righteous principles and a never-ending desire to win, Soo Jae is well on her way to becoming one of TK Law Firm’s top attorneys. But when one of her cases takes an unexpected turn, Soo Jae is forced to watch as all of her hard work comes crumbling down around her. Demoted at work, Soo Jae is forced to take on the role of adjunct professor at a local law school. Determined to win back her position within the firm, Soo Jae does her best to settle into her new role but the sting of demotion still lingers. Only after meeting Gong Chan, a university student whose path frequently crosses with Soo Jae, does that sting begin to lessen. Despite carrying the burdens of a painful past, Gong Chan’s warm heart remains strong, especially as his affection for Soo Jae grows.  Obviously smitten with Soo Jae, Gong Chan stays by her side, even as she struggles to find a way back into the firm’s good graces. Will her determination and Gong Chan’s support be enough to restore her position, or will the powers that be continue to push her down?  ", Park Soo Jin ,"  Why Oh Soo Jae? ,  Wae Osujaeinga?  ", 16, 8.5 (scored by 784 users), #7391, #780," 12,532"," Jun  3, 2022 - Jul 23, 2022", 1 hr. 10 min.,"Mystery,Romance,Drama,Melodrama","OlderWoman/YoungerMan,Student-TeacherRelationship,Law,AgeGap[DramaLife],Bad-temperedFemaleLead,Professor,ColdFemaleLead,DeathOfAParent,WrongfullyAccused,Death","Seo Hyun Jin,Hwang In Youp,Heo Joon Ho,Bae In Hyuk,","Jo Young Jin,Kim Sun Hyuk,"
80001,https://mydramalist.com/80001-link,"Link: Eat, Love, Kill (2022)",https://i.mydramalist.com/1rPKz_4c.jpg?v=1, Drama, South Korea ,"A fantasy mystery drama about a man and woman who share the same emotional state. Eun Gye Hoon is a chef who sets up a restaurant in the town where his twin sister went missing 20 years ago. He finds himself randomly experiencing emotions one day, spontaneously crying and laughing, and it turns out that they are the emotions of a woman named Noh Da Hyun.  (Sources: HanCinema, Soompi) ", No Sang Hoon ,"  Link: Eat and Love to Kill ,  You Are My Killer ,  Lingkeu: Meokgo Saranghara, Jukige ,  유 아 킬러 ,  Link: Eat, Live, Die  ", 16, 8.6 (scored by 487 users), #30929, #862," 11,262"," Jun  6, 2022 - Jul 26, 2022", 1 hr. 10 min.,"Mystery,Romance,Drama,Fantasy","Investigation,MissingPerson,ChefMaleLead,UnluckyFemaleLead,Fate,SlightComedy,Disappearance,Twins,Melodrama","Yeo Jin Goo,Moon Ga Young,","Park Bo Kyung,Kwon Hyuk,Ahn Se Bin,Woo Mi Hwa,"
699445,https://mydramalist.com/699445-showtime-from-now-on,"From Now On, Showtime! (2022)",https://i.mydramalist.com/k8W4r_4c.jpg?v=1, Drama, South Korea ,"Cha Cha Woong is a popular if somewhat sardonic stage and TV magician with a taste for the spectacular. His tricks dazzle audiences, but little do most people know – he has a gang of secret helpers! However, these are no ordinary magician’s assistants: They are actually ghosts. But Cha Cha Woong is not afraid of beings from the spirit realm – in fact, he treats them as his employees...and they, in turn, believe him to be their “boss.”  One day, his path crosses with that of Go Seul Hae, a young, passionate police officer. He attempts to brush her off when she investigates an incident connected to one of his magic shows. But she soon realizes that the magician’s unusual abilities could be the perfect crime-fighting tool. She manages to convince him to join the police force in its efforts to catch fiendish criminals – and use his ghostly retinue to help foil evil masterminds! But in the course of their unorthodox partnership, could romance also make an appearance on the scene?  ", Lee Hyung Min ,"  Showtime Begins! ,  Jigeumbuteo Showtime! ,  Jigeumbuteo Syotaim! ,  지금부터 쇼타임! ,  From Now, Showtime!  ", 16," 8.5 (scored by 1,384 users)", #359, #927," 10,289"," Apr 23, 2022 - Jun 12, 2022", 1 hr. 13 min.,"Mystery,Comedy,Romance,Fantasy","Supernatural,Ghost,Investigation,MagicianMaleLead,PoliceOfficerFemaleLead,Secret,SpecialPower,Ghost-seeingMaleLead,GhostSupportingCharacter,SerialKillerSupportingCharacter","Park Hae Jin,Jin Ki Joo,Jung Joon Ho,","Go Gyu Pil,Jung Suk Yong,Park Seo Yeon,"
710941,https://mydramalist.com/710941-eve-s-scandal,Eve (2022),https://i.mydramalist.com/j73Qd_4c.jpg?v=1, Drama, South Korea ,"Lee Ra El was a girl who idolized her loving parents – a highly intelligent father and a strikingly beautiful mother. But when cruel forces beyond their control cause her father’s death, her family crumbles. Embittered by this terrible experience, she vows revenge on the super-rich people who orchestrated this terrible tragedy. Her prime target is Kang Yoon Kyum, the CEO of the lucrative LY Group business empire, and one of the ringleaders of the plot that ultimately destroyed her family.  Lee Ra El’s weapon of choice is divorce. By placing herself at the center of a legal battle worth a staggering USD 1.6 billion, she hopes to bring Kang Yoon Kyum and LY Group down once and for all. But in order to do so, she will need to wage a bitter legal struggle and fight powerful forces both inside and outside the courtroom. However, this plan has been in the pipelines for 13 years for Lee Ra El, who believes she will use all of her guile to catch Kang Yoon Kyum out when he least expects it. Can revenge bring her the satisfaction she craves – or will it end up consuming her?  ", Park Bong Sub ,"  Eve's Scandal ,  Ibeuui Seukaendeul ,  이브의 스캔들  ", 16, 7.8 (scored by 686 users), #12774, #1079," 8,852"," Jun  1, 2022 - Jul 21, 2022", 1 hr. 10 min.,"Romance,Drama,Melodrama","DeathOfAParent,Scheme,RichFemaleLead,OrphanMaleLead,MarriedCouple,Death,Divorce,StrongFemaleLead,Revenge,PoliticianMaleLead","Seo Yea Ji,Park Byung Eun,Yoo  Sun,Lee Sang Yeob,","Jeon Gook Hwan,Jung Hae Kyun,"
707571,https://mydramalist.com/707571-kiss-six-sense,Kiss Sixth Sense (2022),https://i.mydramalist.com/xoWvq_4c.jpg?v=1, Drama, South Korea ,"Hong Ye Sool, the best account executive on Planning Team 1 at Zeu Ad is making her way up as a project manager. She has one secret: she can see the future when she kisses someone. One day, after Ye Sool's lips accidentally meet the lips of her evil team chief Min Hoo, she sees herself in bed with him in the future. While Ye Sool is confused with her future, her ex-boyfriend Pil Yo shows up to work on a new project together and offers Yesool to go on a date with him three times. This romantic office comedy revolves around Ye Sool, whose primary focus is work.     ~~ Adapted from the web novel ""Kiss Sixth Sense"" (키스식스센스) by Gatnyeo (갓녀).", Nam Ki Hoon ,"  Kiss Sixth Senses ,  Sixth Sense Kiss ,  Kiseusigseusenseu  ", 12, 8.2 (scored by 563 users), #960, #1672," 5,592"," May 25, 2022 - Jun 29, 2022", 1 hr. 10 min.,"Comedy,Romance,Fantasy,Supernatural","OfficeWorkerFemaleLead,SupernaturalPower,Secret,AdaptedFromAWebNovel,Workplace,MaleChasesFemaleFirst,OfficeRomance,TeamLeaderMaleLead,Miniseries,Boss-EmployeeRelationship","Yoon Kye Sang,Seo Ji Hye,Kim Ji Suk,","Lee  Joo Yeon,Tae In Ho,Kim Ga Eun,"
701871,https://mydramalist.com/701871-doctor-lawyer,Doctor Lawyer (2022),https://i.mydramalist.com/BJ5d7_4c.jpg?v=1, Drama, South Korea ,"Han Yi Han was an  elite surgeon. He graduated at the top of the best medical school in South Korea and he specialized in two departments: general surgery and cardiothoracic surgery. One surgery changed his life. Han Yi Han believe he did well on that surgery, but the patient died. He then got his medical license revoked.  Four years later, Han Yi Han works as a lawyer, specializing in medical litigation. He also tries to uncover the truth behind the death of his former patient. For his trials, Han Yi Han defends victims and tries to punish those that commit medical malpractice and negligence. He works with a public prosecutor, who lost a family member and a lover due to the surgery Han Yi Han performed.  ", Lee Yong Seok ,"  Dr. Lawyer ,  Dagteo Loieo  ", 16, 8.0 (scored by 217 users), #31086, #1995," 4,558"," Jun  3, 2022 - Jul 23, 2022", 1 hr. 3 min.,"Thriller,Law,Drama,Medical","ThoracicSurgeonMaleLead,ProsecutorFemaleLead,Corruption,AmbassadorSupportingCharacter,ThoracicSurgeonSupportingCharacter,InvestigatorSupportingCharacter,MinisterSupportingCharacter,VicePresidentSupportingCharacter,SurgeonMaleLead,Middle-AgedMaleLead","So Ji Sub,Shin Sung Rok,Im Soo Hyang,","Lee Joo Bin,Lee Dong Ha,Lee Kyung Young,"
698379,https://mydramalist.com/698379-shooting-star,Sh**ting Stars (2022),https://i.mydramalist.com/BAwvb_4c.jpg?v=1, Drama, South Korea ,"A behind-the-scenes look at the entertainment industry's PR teams, managers, and reporters as they scramble to clean up the messes created by their stars.   Oh Han Byul leads an entertainment agency's PR team. One of her top clients is the star Gong Tae Sung, who can do no wrong. They were in high school and college together, where he became her sworn enemy. They bicker constantly but soon develop feelings for one another.   ", Lee Soo Hyun ,"  Star Fall ,  Shooting Stars ,  Byeolddongbyeol ,  Byeolttongbyeol ,  Shitting Stars ,  Shooting Star  ", 16," 8.4 (scored by 3,941 users)", #31058, #2007," 4,530"," Apr 22, 2022 - Jun 11, 2022", 60 min.,"Comedy,Romance,Drama","BickeringCouple,Love/HateRelationship,EnemiesToLovers,FamousMaleLead,EntertainmentIndustry,Celebrity,MultipleMains,Actor/ActressSupportingCharacter,TalentManagerFemaleLead,TalentManagerMaleLead","Lee Sung Kyung,Kim Young Dae,Yoon Jong Hoon,Kim Yoon Hye,Park So Jin,Lee Jung Shin,",
709887,https://mydramalist.com/709887-now-is-beautiful,It's Beautiful Now (2022),https://i.mydramalist.com/k2lrO_4c.jpg?v=1, Drama, South Korea ,"Lee Yoon Jae, Lee Hyun Jae and Lee Soo Jae are brothers and they are not interested in dating or getting married. Their grandfather Lee Kyung Cheol and their parents Lee Min Ho and Han Kyung Ae are all concerned about their indifference to marriage. They decide to make an offer to the brothers. Their offer is that the first brother to marry will receive an apartment from them. Each of the brothers decide to look for a woman to marry.  The middle brother is Lee Hyun Jae. He is an excellent lawyer and specializes in divorce cases. His work keeps him busy all the time. One day, he meets a new client Hyun Mi Rae. Hyun Mi Rae works as VIP personal shopper and she wants to file for an annulment of her marriage.  The oldest brother Lee Yoon Jae works as a dentist. He has operated his own dental clinic for the past 5 years and he has a good reputation among his patients. One of his patients is Sim Hae Joon. She works at the same law firm as Lee Yoon Jae's younger brother Lee Hyun Jae. She falls in love with the dentist.  The youngest brother is Lee Soo Jae. He is studying for his exam to become a public officer. He also works part-time to pay his bills. While doing his part-time job, he meets Na Yoo Na. She dreams of becoming a patissier. She came to Seoul to achieve her dream and attends a bakery school.  ", Kim Sung Geun ,"  The Present Is Beautiful ,  Right Now Is Beautiful ,  Hyun Jae Is Beautiful ,  Hyeonjaeneun Aleumdawo  ", 50, 8.0 (scored by 521 users), #1471, #2126," 4,239"," Apr  2, 2022 - Sep 18, 2022", 1 hr. 10 min.,"Romance,Drama,Family","DentistMaleLead,LawyerMaleLead,MultipleMains,MultipleCouples,Brothers'Relationship,Patisserie,Part-timeWorkerFemaleLead,Part-timeWorkerMaleLead,DivorcedFemaleLead,Multi-Generational","Oh Min Suk,Shin Dong Mi,Yoon Shi Yoon,Bae Da Bin,Seo Bum June,Choi Ye Bin,",
697585,https://mydramalist.com/697585-our-blues,Our Blues (2022),https://i.mydramalist.com/48LYQ_4c.jpg?v=1, Drama, South Korea ,"""Our Blues"" takes on an omnibus-style drama, which tells the story of diverse characters that are somewhat interconnected, in one way or the other.  Lee Dong Suk, a guy born on the beautiful island of Jeju, sells trucks for a living. He meets Min Sun Ah, a girl with a mysterious past, who has come to Jeju to escape that life.  Park Jung Joon, a ship captain, falls in love with Lee Young Ok, a diver with a bright and bubbly personality.  Jung Eun Hee, a fish shop owner, reunites with her past lover Choi Han Soo. They cross paths in Jeju Island when he returns back, after realizing that city life is not for him.  "," Kim Kyu Tae,  Lee Jung Mook ","  Urideului Beulluseu ,  Ulideului Beulluseu  ", 20," 8.3 (scored by 1,730 users)", #31050, #2333," 3,797"," Apr  9, 2022 - Jun 12, 2022", 1 hr. 10 min.,"Romance,Life,Drama,Family","Anthology,MultipleMains,Melodrama,DiverSupportingCharacter,DiverFemaleLead,IslandSetting,ShopOwnerFemaleLead,ManagerSupportingCharacter,ManagerMaleLead,RestaurateurMaleLead","Lee Byung Hun,Shin Min Ah,Cha Seung Won,Lee Jung Eun,Uhm Jung Hwa,Han Ji Min,",
714983,https://mydramalist.com/714983-love-in-spring,Love in Spring (2022),https://i.mydramalist.com/EqZ3m_4c.jpg?v=1, Drama, South Korea ,"Jin Geum Seong is a poor nobleman who lives with his mother and making ends meet is challenging. While gathering wood on the mountain, he spies a woman swimming nearby. Believing she is about to take her life, he creates a disturbance allowing him to save Choi Hye Seong, the third daughter of Choi Jin Sa. Only things are not as they seem when she turns out to be a man named 'Salbyul,'   Love will bloom between Hye Seong and Geum Seong, much like a flower on a warm spring day.     ~~ Adapted from the webtoon of the same title by Noh Myung Hee (노명희).", Lee Chang Han ,"  The Crush in Spring ,  The Crush of Spring ,  Chunjeonjiran  ", 16, 7.6 (scored by 143 users), #15008, #2461," 3,567"," May 18, 2022 - Jul  6, 2022", 26 min.,"Historical,Romance,Drama","GayRomance,LGBTQ+,GayMaleLead,InnerMonologue,HistoricalFiction,HiddenIdentity,Miniseries,ArrangedMarriage,Marriage,JoseonDynasty","Yoo Young Jae,Kim Song,","Kim Seong Hee,Lee Do Ha,Jung Seung Hye,Choi Ryeong,"
